"","Model","Mean.dispersal_sd","kurtosis","Max_dispersal","percentile_90","LDD_500","LDD_150"
"1","CP","176.7 (120)",5.46,1364,339.6,"2.019%","69.78%"
"2","PP","146.2 (120)",7.93,1407,299.1,"1.63%","56.93%"
"3","NP","176.3 (140)",11.4,2380,354.1,"3.601%","65.45%"
