SITE,Bird_ID,DATE,Time_ID,T_intervals,T_minutes,X_Estimate,Y_Estimate
TBS,3,28-Jan-03,4,1,15,371551.5794,69302.7772
TBS,3,28-Jan-03,5,1,15,372925.2309,68440.7032
TBS,3,28-Jan-03,7,2,30,371478.5125,69381.8544
TBS,3,30-Jan-03,1,,0,371528.6564,69358.9058
TBS,3,30-Jan-03,2,1,15,372497.82,70513.91
TBS,3,30-Jan-03,3,1,15,373375.0865,67966.143
TBS,3,30-Jan-03,4,1,15,371448.8034,69908.26
TBS,3,30-Jan-03,5,1,15,371607.5402,69525.1541
TBS,3,30-Jan-03,7,2,30,372083.405,70053.6555
TBS,3,30-Jan-03,8,1,15,371118.3738,69717.4864
TBS,3,30-Jan-03,9,1,15,372278.5402,68948.0658
TBS,3,3-Feb-03,1,,0,371517.1916,69345.2426
TBS,3,3-Feb-03,2,1,15,370848.2189,69977.9221
TBS,3,3-Feb-03,4,2,30,371665.8645,69522.4241
TBS,3,3-Feb-03,5,1,15,371641.0121,69562.3284
TBS,3,3-Feb-03,6,1,15,371682.4071,69542.1387
TBS,3,18-Feb-03,1,,0,372225.7655,68578.1413
TBS,3,18-Feb-03,2,1,15,372049.876,68717.3046
TBS,3,18-Feb-03,5,3,45,371416.5176,69505.5792
TBS,3,20-Feb-03,1,,0,372292.7195,70209.836
TBS,3,20-Feb-03,3,2,30,372050.664,70568.8138
TBS,3,20-Feb-03,4,1,15,372305.8116,70346.9997
TBS,3,20-Feb-03,5,1,15,372384.1157,70395.6482
TBS,3,24-Feb-03,2,,0,372640.1245,70267.4314
TBS,3,24-Feb-03,3,1,15,372652.5604,70102.0094
TBS,3,24-Feb-03,4,1,15,372482.3128,70069.8425
TBS,3,24-Feb-03,5,1,15,372516.4117,70189.9405
TBS,3,24-Feb-03,6,1,15,372292.0332,70326.3696
TBS,3,24-Feb-03,7,1,15,372316.2955,70312.3066
TBS,3,24-Feb-03,8,1,15,372289.2028,70325.587
TBS,3,24-Feb-03,9,1,15,372192.1003,69817.635
TBS,3,24-Feb-03,10,1,15,372406.3022,70375.0976
TBS,3,24-Feb-03,11,1,15,372369.9239,70381.4698
TBS,3,6-Mar-03,3,,0,372306.9474,70269.6042
TBS,3,6-Mar-03,4,1,15,372286.2916,70360.2256
TBS,3,6-Mar-03,5,1,15,372335.9588,70306.7371
TBS,3,6-Mar-03,6,1,15,372353.391,70242.2785
TBS,3,6-Mar-03,7,1,15,372361.4492,70339.3633
TBS,3,6-Mar-03,8,1,15,372365.47,69884.2238
TBS,3,7-Mar-03,1,,0,372583.7544,70389.9234
TBS,3,7-Mar-03,2,1,15,373092.387,69347.0065
TBS,3,7-Mar-03,3,1,15,372414.5549,69921.4478
TBS,3,7-Mar-03,5,2,30,372182.699,69325.4235
TBS,3,7-Mar-03,6,1,15,372412.9968,70151.9554
TBS,3,7-Mar-03,7,1,15,372434.0862,70168.4323
TBS,3,7-Mar-03,8,1,15,372521.3234,70127.1272
TBS,3,7-Mar-03,9,1,15,372541.9978,69836.0632
TBS,3,7-Mar-03,11,2,30,372729.3701,70425.89
TBS,3,14-Mar-03,1,,0,372542.1429,70430.5508
TBS,3,14-Mar-03,2,1,15,372680.7164,70371.0157
TBS,3,14-Mar-03,3,1,15,372733.9265,70459.4005
TBS,3,14-Mar-03,5,2,30,371940.2982,70265.6853
TBS,3,14-Mar-03,6,1,15,372350.6122,69923.4918
TBS,5,29-Dec-02,5,,0,372113.8774,68538.6967
TBS,5,29-Dec-02,6,1,15,372033.9647,69941.0964
TBS,5,29-Dec-02,7,1,15,371878.2576,69801.185
TBS,5,16-Jan-03,4,,0,372726.009,69718.1202
